,home,nonhome
0,0.0,230605.54139999987
1,121143.93329999993,1447077.243699992
2,61433.72110000001,889553.2518999971
3,2133465.1724999975,370550.9794999999
4,649155.4939,126019.85000000003
5,132042.54289999988,47455.08839999998
6,27860.82489999999,17634.603400000004
7,9604.8117,3889.1844
8,982.5119,1978.6969000000001
9,133.2567,1057.8293
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
