,sessionNum_home,sessionNum_nonhome,duration_home,duration_nonhome
Cook,4644949.04050002,5250046.899400003,31242803.902350057,13881589.528050005
DuPage,802197.3718000017,1005990.2965000009,5345931.739149992,2977880.059650001
Kane,220563.81150000033,338509.0450999997,1503563.3943999999,1077857.6249500008
Lake,735224.3682999973,714328.367799998,4919349.239400001,1902689.2091499974
McHenry,250496.90230000005,232220.2843999999,1667792.561125,537272.9546750002
Will,538199.4195999984,555155.2353999998,3572774.5775500005,1285375.2891999981
Kendall,45742.68619999999,42791.54130000001,287930.4108749999,174892.041975
