,Cook,DuPage,Kane,Lake,McHenry,Will,Kendall
Cook,0.45340589610662796,0.0630659129875966,0.01962264071545441,0.050007531511570835,0.016659647395576984,0.037085206026901,0.003907865574797741
DuPage,0.06372307579442078,0.03164254553577442,0.003785546043715016,0.008474717227225526,0.003307146372608735,0.007703922968756635,0.000556782466909792
Kane,0.020112252746027105,0.004047867562716548,0.006233556878036771,0.0028841757812101245,0.0009037608839085703,0.00303003765748519,0.0001388871151556736
Lake,0.04941939161687336,0.0084652980700586,0.0030758687656898555,0.02335467926149354,0.002675339886695829,0.005194744637922908,0.00038309145075023364
McHenry,0.01584362747225003,0.0037403977537345946,0.0010591976283856348,0.002974459929705053,0.005337607940344473,0.0018606792537413876,9.42791703277943e-05
Will,0.03745197567164299,0.0075136935735079435,0.0034063588390278532,0.004825570881274276,0.0016941146772489937,0.01555188146362856,0.00014095609070824915
Kendall,0.0037038341567348343,0.000708398270809017,0.00025961272212976554,0.0004306047415836747,0.00010704511273690041,0.0001227165396410313,0.0003055990688760473
