,home,nonhome
Cook,32243019.010124993,12880291.3523
DuPage,5556462.4224,2765037.15565
Kane,1603151.0991249997,978269.9202249998
Lake,5074343.536,1747694.91255
McHenry,1718279.2171500002,486786.29865000007
Will,3648940.466075,1209209.4006750002
Kendall,303027.41262499994,159795.040225
