,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0
0.1,0.5835151405647636,0.7272541562328563,0.7949916070469508,0.7984075396596122,0.7984075396596122,0.7984075396596122,0.7984075396596122,0.7984075396596122,0.7984075396596122,0.7984075396596122,0.7984075396596122
0.2,0.635994311548324,0.8105625978215958,0.9045847212094429,0.9120606990038791,0.9120606990038791,0.9120606990038791,0.9120606990038791,0.9120606990038791,0.9120606990038791,0.9120606990038791,0.9120606990038791
0.30000000000000004,0.6590979879195885,0.8439127378833464,0.9386941644524891,0.9710022731174448,0.9732137445652382,0.9732137445652382,0.9732137445652382,0.9732137445652382,0.9732137445652382,0.9732137445652382,0.9732137445652382
0.4,0.6675091323443496,0.8575919628972977,0.950311291380593,0.9919209746407933,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.6762068599780292,0.8752718810333476,0.9622056034280657,0.9975037133359562,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6,0.6882905642647896,0.8992495174726726,0.9796326468102177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7000000000000001,0.6980792154752251,0.9184043791494756,0.9905439218585079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8,0.7044851155894813,0.9310730379551608,0.9958617020166511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9,0.7095826549121755,0.9425798485710402,0.9986153905342042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.7141682725095767,0.9500462403041671,0.998827642298907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
