,Home,Public,Idle,P_avg
Cook,0.32197054203161124,0.2569195760638992,0.4211098819044896,6.107587435179767
DuPage,0.39660440775067823,0.3023381120917933,0.3010574801575285,7.311302535631647
Kane,0.4163684720202086,0.35769778269293995,0.22593374528685142,8.28004604453556
Lake,0.5593250439240486,0.23737299495093275,0.20330196112501853,7.475870231732331
McHenry,0.6642396570547188,0.19579222388818923,0.1399681190570919,7.586560957705871
Will,0.6402791129728186,0.2059475588523713,0.15377332817481007,7.5711671735953
Kendall,0.5724820947564472,0.3376285482747873,0.08988935696876571,9.07180288741694
